Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/11 11:17:41 PM GMT+5:30,32,Others,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Multiple times a day,others,Multiple pages,1,No,Always,Found a better price elsewhere,Sometimes,Yes,Heavily,No,3,Yes,4,4,All the above,User interface of app,710538
2023/06/06 7:02:21 PM GMT+5:30,35,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a week,others,First page,4,Maybe,Never,others,Rarely,No,Occasionally,Yes,3,Sometimes,4,5,Customer service ,Product quality and accuracy,840304
2023/06/09 2:22:25 PM GMT+5:30,29,Male,Few times a month,Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,categories,Multiple pages,3,Yes,Rarely,Changed my mind or no longer need the item,Never,Yes,Never,Yes,5,Sometimes,5,4,.,I have no problem with Amazon yet. But others tell me about the refund issues ,903555
2023/06/09 4:28:58 PM GMT+5:30,34,Male,Once a month,Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,others,Multiple pages,4,Maybe,Sometimes,others,Never,No,Rarely,Yes,2,Yes,4,4,All the above,User interface ,848855
2023/06/07 10:35:06 PM GMT+5:30,9,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,nan,First page,2,No,Always,Changed my mind or no longer need the item,Never,No,Rarely,No,3,Yes,1,5,Competitive prices,Reducing packaging waste,591698
2023/06/08 5:38:57 PM GMT+5:30,42,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,categories,First page,1,Yes,Always,others,Often,No,Never,No,2,Sometimes,3,5,Customer service ,Nothing,792796
2023/06/05 12:57:05 AM GMT+5:30,54,Female,Few times a month,Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,2,No,Sometimes,High shipping costs,Never,Yes,Rarely,No,4,No,1,5,Customer service,Add more familiar brands to the list,363434
2023/06/08 3:24:37 AM GMT+5:30,59,Male,Once a week,Clothing and Fashion,No,Multiple times a day,Filter,First page,1,Maybe,Always,others,Often,No,Occasionally,Yes,5,No,2,5,Competitive prices,User interface ,396051
2023/06/04 7:23:21 PM GMT+5:30,52,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Filter,Multiple pages,4,Yes,Always,others,Never,Yes,Rarely,Sometimes,4,Yes,1,3,All the above,better app interface and lower shipping charges,387858
2023/06/09 10:22:35 AM GMT+5:30,40,Others,Less than once a month,Home and Kitchen,Yes,Few times a month,nan,First page,3,Yes,Rarely,Changed my mind or no longer need the item,Often,No,Moderately,Sometimes,1,Sometimes,3,3,User-friendly website/app interface,Product quality and accuracy,275931
2023/06/04 9:22:58 PM GMT+5:30,39,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Multiple times a day,others,First page,5,Yes,Always,others,Often,Yes,Occasionally,Sometimes,4,No,5,2,User-friendly website/app interface,.,800080
2023/06/06 7:46:27 PM GMT+5:30,52,Female,Multiple times a week,Home and Kitchen,No,Few times a week,nan,Multiple pages,5,Yes,Often,others,Sometimes,Yes,Occasionally,Sometimes,4,Sometimes,3,1,Product recommendations,better app interface and lower shipping charges,715522
2023/06/06 10:22:47 AM GMT+5:30,11,Others,Once a week,Beauty and Personal Care;Home and Kitchen,Sometimes,Multiple times a day,Keyword,First page,3,Yes,Never,Changed my mind or no longer need the item,Often,No,Heavily,Yes,2,Sometimes,4,4,.,.,603447
2023/06/07 12:39:08 PM GMT+5:30,13,Prefer not to say,Once a week,Groceries and Gourmet Food;Home and Kitchen,No,Multiple times a day,Keyword,First page,4,Maybe,Always,High shipping costs,Sometimes,No,Rarely,Yes,1,No,3,5,Customer service,better app interface and lower shipping charges,515483
2023/06/11 11:02:55 PM GMT+5:30,49,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple times a day,nan,First page,4,No,Often,High shipping costs,Never,Yes,Never,Sometimes,1,Yes,3,5,Quick delivery,Quality of product is very poor according to the big offers,114483
2023/06/07 12:13:39 PM GMT+5:30,9,Prefer not to say,Less than once a month,Clothing and Fashion,No,Rarely,others,First page,2,Yes,Rarely,Changed my mind or no longer need the item,Never,Yes,Rarely,Yes,4,No,1,2,Product recommendations,I don't have any problem with Amazon,272544
2023/06/08 5:53:11 PM GMT+5:30,46,Female,Once a month,Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,4,No,Often,Changed my mind or no longer need the item,Often,No,Rarely,No,5,Sometimes,5,4,Customer service ,Nothing,480464
2023/06/08 5:38:57 PM GMT+5:30,8,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Multiple times a day,nan,Multiple pages,4,No,Never,others,Rarely,No,Never,Yes,4,Sometimes,2,2,Competitive prices,.,985253
2023/06/12 3:33:53 PM GMT+5:30,56,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Rarely,categories,Multiple pages,3,Yes,Never,others,Rarely,No,Heavily,No,2,No,1,4,Customer service ,better app interface and lower shipping charges,307780
2023/06/11 9:15:38 PM GMT+5:30,7,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,Filter,Multiple pages,4,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Sometimes,1,Sometimes,4,5,User-friendly website/app interface,Add more familiar brands to the list,233392
2023/06/11 9:31:41 AM GMT+5:30,43,Female,Multiple times a week,Beauty and Personal Care,No,Few times a week,nan,Multiple pages,4,Maybe,Never,others,Always,No,Moderately,Sometimes,4,Yes,2,5,Customer service ,Product quality and accuracy,413234
2023/06/09 4:31:06 PM GMT+5:30,62,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Multiple times a day,nan,Multiple pages,3,Yes,Often,others,Often,No,Rarely,Sometimes,4,No,1,2,Product recommendations,No problems with Amazon,938052
2023/06/08 5:39:57 PM GMT+5:30,15,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Filter,First page,3,Maybe,Always,High shipping costs,Rarely,Yes,Never,No,2,Yes,5,2,Product recommendations,Product quality and accuracy,930636
2023/06/08 5:13:33 PM GMT+5:30,14,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,3,Maybe,Often,others,Sometimes,No,Moderately,Sometimes,1,Sometimes,5,4,Wide product selection,Reducing packaging waste,861797
2023/06/09 10:28:23 AM GMT+5:30,60,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Filter,Multiple pages,4,Yes,Often,Found a better price elsewhere,Often,No,Moderately,Yes,3,Yes,5,5,Competitive prices,User interface of app,822424
2023/06/08 10:41:11 PM GMT+5:30,15,Prefer not to say,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Multiple times a day,others,Multiple pages,3,Yes,Sometimes,others,Rarely,Yes,Moderately,Sometimes,2,No,2,4,User-friendly website/app interface,Reducing packaging waste,557684
2023/06/12 3:51:31 PM GMT+5:30,10,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Rarely,nan,Multiple pages,4,Maybe,Always,others,Always,Yes,Heavily,No,5,No,2,3,Quick delivery,.,902263
2023/06/08 5:57:03 PM GMT+5:30,46,Female,Once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Rarely,nan,Multiple pages,5,Maybe,Never,Changed my mind or no longer need the item,Never,Yes,Moderately,No,2,Sometimes,4,3,Competitive prices,UI,114380
2023/06/05 7:04:21 PM GMT+5:30,48,Female,Multiple times a week,Clothing and Fashion,No,Multiple times a day,others,First page,1,Yes,Always,High shipping costs,Sometimes,No,Never,Sometimes,3,Sometimes,5,2,All the above,Irrelevant product suggestions,604517
2023/06/06 7:42:51 PM GMT+5:30,26,Male,Less than once a month,Beauty and Personal Care;others,Yes,Few times a month,categories,Multiple pages,5,No,Sometimes,Found a better price elsewhere,Sometimes,No,Never,Yes,2,No,2,1,User-friendly website/app interface,better app interface and lower shipping charges,475088
2023/06/08 3:30:05 AM GMT+5:30,4,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Multiple times a day,Keyword,First page,3,No,Always,others,Never,No,Never,No,1,No,4,1,Competitive prices,User interface of app,380572
2023/06/09 9:31:57 AM GMT+5:30,9,Male,Multiple times a week,Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,4,Yes,Sometimes,High shipping costs,Never,Yes,Moderately,No,3,No,1,1,User-friendly website/app interface,better app interface and lower shipping charges,863199
2023/06/06 12:00:16 PM GMT+5:30,44,Others,Once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Multiple times a day,others,Multiple pages,5,No,Often,High shipping costs,Never,Yes,Occasionally,No,2,Sometimes,5,5,User-friendly website/app interface,Nil,572012
2023/06/11 11:27:55 PM GMT+5:30,29,Others,Multiple times a week,others,Sometimes,Few times a week,categories,Multiple pages,2,No,Always,High shipping costs,Never,Yes,Rarely,No,4,Sometimes,1,3,Customer service,better app interface and lower shipping charges,461630
2023/06/07 9:17:50 PM GMT+5:30,40,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Rarely,Keyword,Multiple pages,2,Maybe,Never,High shipping costs,Often,Yes,Never,No,2,Yes,5,5,Wide product selection,User interface of app,804608
2023/06/09 7:24:57 PM GMT+5:30,31,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Filter,First page,2,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Rarely,Sometimes,3,No,1,3,User-friendly website/app interface,Product quality and accuracy,213989
2023/06/09 2:43:37 PM GMT+5:30,10,Female,Once a week,Groceries and Gourmet Food,Yes,Few times a month,Filter,First page,3,No,Always,High shipping costs,Always,No,Rarely,Sometimes,5,Yes,2,4,Product recommendations,Irrelevant product suggestions,615467
2023/06/07 10:11:28 PM GMT+5:30,62,Female,Once a month,Home and Kitchen;others,No,Few times a month,Keyword,First page,5,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,Never,Yes,1,No,4,1,Wide product selection,Customer service responsiveness,949506
2023/06/08 5:06:30 PM GMT+5:30,59,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Multiple times a day,nan,Multiple pages,2,Maybe,Often,others,Never,Yes,Moderately,No,2,No,2,5,Quick delivery,Irrelevant product suggestions,280922
2023/06/09 3:10:36 PM GMT+5:30,59,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,5,Yes,Never,others,Never,Yes,Moderately,No,2,Yes,2,2,Competitive prices,Scrolling option would be much better than going to next page,533690
2023/06/04 5:04:56 PM GMT+5:30,66,Male,Multiple times a week,Beauty and Personal Care;others,Sometimes,Rarely,Filter,Multiple pages,1,Maybe,Always,others,Rarely,Yes,Rarely,Yes,2,No,2,5,Product recommendations,UI,864609
2023/06/08 3:23:36 AM GMT+5:30,58,Prefer not to say,Multiple times a week,Home and Kitchen,Yes,Few times a week,Keyword,First page,4,Maybe,Sometimes,others,Sometimes,Yes,Occasionally,No,1,Yes,2,3,Wide product selection,better app interface and lower shipping charges,872487
2023/06/04 10:13:28 PM GMT+5:30,44,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,nan,Multiple pages,3,Maybe,Always,High shipping costs,Sometimes,Yes,Heavily,No,2,No,3,5,Quick delivery,Reducing packaging waste,390735
2023/06/08 11:59:14 AM GMT+5:30,8,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,First page,3,No,Never,Changed my mind or no longer need the item,Never,Yes,Rarely,No,5,No,1,4,Wide product selection,Shipping speed and reliability,224325
2023/06/05 3:28:01 PM GMT+5:30,12,Others,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,categories,Multiple pages,3,Maybe,Never,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,2,Yes,4,2,Competitive prices,User interface ,949566
2023/06/04 8:20:42 PM GMT+5:30,55,Male,Once a week,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Filter,First page,4,Yes,Rarely,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,3,Yes,3,1,User-friendly website/app interface,better app interface and lower shipping charges,568361
2023/06/07 6:20:53 PM GMT+5:30,10,Prefer not to say,Once a month,Beauty and Personal Care;others,Sometimes,Few times a month,Keyword,Multiple pages,5,No,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,Rarely,Yes,1,Yes,4,5,Customer service,Scrolling option would be much better than going to next page,852780
2023/06/04 11:38:30 PM GMT+5:30,53,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,others,Multiple pages,4,Yes,Always,Changed my mind or no longer need the item,Never,No,Never,Sometimes,4,Yes,2,2,Quick delivery,Nil,584424
2023/06/06 6:51:13 PM GMT+5:30,49,Male,Few times a month,Beauty and Personal Care,No,Multiple times a day,others,Multiple pages,4,Yes,Rarely,High shipping costs,Always,Yes,Heavily,Sometimes,1,No,5,5,Quick delivery,Add more familiar brands to the list,858170
2023/06/05 3:28:01 PM GMT+5:30,52,Others,Once a week,Clothing and Fashion,Sometimes,Multiple times a day,Keyword,Multiple pages,2,No,Never,Found a better price elsewhere,Often,Yes,Occasionally,Sometimes,5,Yes,4,3,Wide product selection,Scrolling option would be much better than going to next page,940379
2023/06/11 10:44:46 PM GMT+5:30,37,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First page,2,Yes,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Never,Sometimes,5,Yes,4,1,All the above,Quality of product is very poor according to the big offers,171160
2023/06/07 12:50:13 PM GMT+5:30,65,Others,Few times a month,Home and Kitchen;others,No,Few times a week,others,Multiple pages,2,Yes,Never,High shipping costs,Always,No,Occasionally,Yes,2,No,4,3,All the above,User interface of app,585806
2023/06/08 5:25:40 PM GMT+5:30,54,Others,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,others,First page,5,Maybe,Often,others,Sometimes,No,Occasionally,Sometimes,1,No,3,1,All the above,Nothing,346197
2023/06/09 3:26:38 PM GMT+5:30,26,Prefer not to say,Once a week,Groceries and Gourmet Food;Home and Kitchen,No,Rarely,Keyword,First page,1,Yes,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,Yes,3,Sometimes,4,2,Competitive prices,Scrolling option would be much better than going to next page,354058
2023/06/08 5:52:26 PM GMT+5:30,14,Others,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,nan,Multiple pages,1,No,Always,High shipping costs,Never,No,Heavily,Sometimes,3,Yes,3,2,User-friendly website/app interface,Irrelevant product suggestions,799661
2023/06/06 11:49:21 AM GMT+5:30,59,Prefer not to say,Once a week,Clothing and Fashion;others,Yes,Few times a month,Filter,Multiple pages,5,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Rarely,No,2,Sometimes,3,3,All the above,Reducing packaging waste,220955
2023/06/07 9:53:52 PM GMT+5:30,65,Female,Less than once a month,others,No,Few times a week,categories,First page,2,Maybe,Never,High shipping costs,Often,No,Occasionally,Yes,1,No,4,1,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues ,502860
2023/06/06 10:07:39 AM GMT+5:30,57,Female,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Rarely,categories,Multiple pages,3,Yes,Sometimes,High shipping costs,Often,Yes,Never,Sometimes,4,Sometimes,3,3,All the above,UI,475925
2023/06/08 5:30:12 PM GMT+5:30,22,Male,Once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Rarely,Filter,Multiple pages,2,No,Always,Found a better price elsewhere,Sometimes,Yes,Heavily,No,3,No,5,3,Quick delivery,Scrolling option would be much better than going to next page,344633
2023/06/07 12:01:15 PM GMT+5:30,15,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Rarely,nan,First page,3,Yes,Rarely,High shipping costs,Often,No,Never,No,3,Sometimes,4,4,Product recommendations,Product quality and accuracy,480322
2023/06/06 6:38:45 PM GMT+5:30,5,Others,Less than once a month,Home and Kitchen;others,Sometimes,Multiple times a day,Filter,Multiple pages,1,Yes,Sometimes,others,Rarely,No,Moderately,Sometimes,5,No,2,2,Customer service,Irrelevant product suggestions,424368
2023/06/08 6:01:31 PM GMT+5:30,54,Female,Once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,4,No,Never,others,Never,No,Rarely,No,5,Sometimes,2,3,.,I don't have any problem with Amazon,535646
2023/06/09 9:35:19 AM GMT+5:30,66,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,categories,Multiple pages,2,Maybe,Always,others,Sometimes,Yes,Occasionally,No,3,Yes,5,2,Customer service,I don't have any problem with Amazon,224683
2023/06/07 10:16:22 PM GMT+5:30,47,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Filter,First page,4,Maybe,Sometimes,others,Never,No,Moderately,No,4,Sometimes,3,5,Competitive prices,Add more familiar brands to the list,262962
2023/06/08 5:47:32 PM GMT+5:30,15,Female,Multiple times a week,others,No,Multiple times a day,others,Multiple pages,3,No,Rarely,others,Never,No,Rarely,No,4,Sometimes,4,3,.,I have no problem with Amazon yet. But others tell me about the refund issues ,415440
2023/06/08 4:29:56 PM GMT+5:30,11,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,others,Multiple pages,4,No,Never,Found a better price elsewhere,Rarely,Yes,Occasionally,Yes,3,No,4,2,Product recommendations,.,165773
2023/06/05 10:09:03 PM GMT+5:30,22,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,Filter,First page,3,Maybe,Always,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,3,Sometimes,5,1,Quick delivery,Add more familiar brands to the list,126741
2023/06/11 10:45:34 PM GMT+5:30,13,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,nan,Multiple pages,1,Yes,Always,Found a better price elsewhere,Rarely,Yes,Occasionally,No,5,Yes,5,5,Customer service,Quality of product is very poor according to the big offers,976286
2023/06/07 1:33:51 PM GMT+5:30,7,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,Filter,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Occasionally,No,3,No,3,2,Customer service ,Add more familiar brands to the list,159059
2023/06/05 1:35:41 PM GMT+5:30,26,Male,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,1,Maybe,Never,Found a better price elsewhere,Often,No,Never,No,4,Sometimes,3,2,Wide product selection,better app interface and lower shipping charges,259972
2023/06/09 9:33:35 AM GMT+5:30,33,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Multiple times a day,nan,First page,2,No,Rarely,others,Never,Yes,Rarely,Yes,5,No,3,1,Competitive prices,Product quality and accuracy,548242
2023/06/07 10:58:04 PM GMT+5:30,40,Others,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Filter,Multiple pages,4,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Rarely,Yes,2,Yes,2,1,Customer service,Product quality and accuracy,121238
2023/06/08 5:14:30 PM GMT+5:30,44,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,categories,First page,3,Yes,Rarely,High shipping costs,Sometimes,Yes,Rarely,Yes,4,Sometimes,4,1,All the above,I don't have any problem with Amazon,626517
2023/06/09 3:08:38 PM GMT+5:30,33,Others,Once a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a month,others,Multiple pages,3,No,Never,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,4,Sometimes,4,5,All the above,Nil,107788
2023/06/08 5:46:49 PM GMT+5:30,44,Female,Once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Few times a month,Filter,First page,2,Maybe,Sometimes,Found a better price elsewhere,Often,No,Moderately,Yes,2,Sometimes,1,1,All the above,Nil,394506
2023/06/09 10:26:01 AM GMT+5:30,11,Male,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,categories,Multiple pages,3,No,Never,Found a better price elsewhere,Never,No,Occasionally,No,3,No,2,5,All the above,.,876357
2023/06/11 10:49:49 PM GMT+5:30,5,Female,Multiple times a week,Home and Kitchen;others,Yes,Few times a week,others,First page,2,Yes,Never,Found a better price elsewhere,Often,Yes,Rarely,Sometimes,3,Yes,2,2,Product recommendations,User interface of app,256934
2023/06/10 10:49:42 AM GMT+5:30,10,Male,Multiple times a week,Home and Kitchen;others,Yes,Rarely,nan,First page,2,Yes,Rarely,others,Often,Yes,Moderately,Yes,4,Sometimes,5,1,All the above,Nothing,171755
2023/06/07 6:20:00 PM GMT+5:30,34,Female,Multiple times a week,Clothing and Fashion,Sometimes,Multiple times a day,others,Multiple pages,1,Maybe,Never,Found a better price elsewhere,Often,Yes,Rarely,No,4,Sometimes,1,3,User-friendly website/app interface,.,993080
2023/06/08 10:21:20 PM GMT+5:30,53,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,Keyword,First page,4,Maybe,Often,others,Rarely,Yes,Heavily,Sometimes,3,Sometimes,2,2,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,650722
2023/06/12 3:59:10 PM GMT+5:30,11,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Filter,First page,3,Yes,Never,Changed my mind or no longer need the item,Never,No,Never,No,2,Yes,3,2,User-friendly website/app interface,Scrolling option would be much better than going to next page,170469
2023/06/11 11:17:41 PM GMT+5:30,35,Others,Once a week,Home and Kitchen;others,Yes,Few times a month,others,Multiple pages,1,No,Rarely,Found a better price elsewhere,Never,No,Heavily,Sometimes,1,Yes,4,4,All the above,Reducing packaging waste,216871
2023/06/11 11:17:41 PM GMT+5:30,38,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,categories,First page,3,Maybe,Rarely,High shipping costs,Sometimes,Yes,Never,Yes,4,Sometimes,3,5,User-friendly website/app interface,Product quality and accuracy,950704
2023/06/12 4:02:02 PM GMT+5:30,10,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple times a day,others,First page,5,No,Always,Found a better price elsewhere,Never,Yes,Rarely,No,3,No,5,5,Quick delivery,Shipping speed and reliability,904890
2023/06/07 9:27:03 AM GMT+5:30,10,Others,Once a week,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,nan,Multiple pages,3,Maybe,Sometimes,others,Sometimes,No,Moderately,Yes,1,No,5,4,Competitive prices,Reducing packaging waste,634016
2023/06/12 9:57:20 PM GMT+5:30,30,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,Multiple pages,4,Yes,Never,others,Sometimes,Yes,Heavily,Sometimes,4,Sometimes,3,3,Customer service ,Irrelevant product suggestions,340299
2023/06/08 10:54:00 AM GMT+5:30,27,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,others,Multiple pages,5,Maybe,Sometimes,others,Always,No,Never,Yes,5,Sometimes,5,3,Customer service ,better app interface and lower shipping charges,603365
2023/06/08 5:23:05 PM GMT+5:30,17,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Filter,First page,3,Maybe,Rarely,High shipping costs,Often,Yes,Rarely,No,1,No,3,5,Product recommendations,No problems with Amazon,603986
2023/06/07 8:41:53 PM GMT+5:30,28,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Rarely,Keyword,First page,3,No,Often,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,1,Sometimes,1,2,Customer service ,I don't have any problem with Amazon,305035
2023/06/08 9:40:50 PM GMT+5:30,67,Others,Once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Rarely,nan,Multiple pages,1,Maybe,Rarely,others,Always,Yes,Rarely,No,1,Sometimes,4,5,.,Product quality and accuracy,696224
2023/06/06 6:43:32 PM GMT+5:30,29,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,categories,Multiple pages,2,Yes,Never,High shipping costs,Never,No,Heavily,No,2,Sometimes,3,2,Wide product selection,Add more familiar brands to the list,733764
2023/06/08 11:59:14 AM GMT+5:30,25,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,nan,Multiple pages,2,Yes,Sometimes,others,Never,No,Heavily,Sometimes,2,Sometimes,1,5,Customer service ,Nothing,478675
2023/06/08 5:45:59 PM GMT+5:30,7,Others,Multiple times a week,Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Keyword,First page,2,Yes,Sometimes,others,Sometimes,Yes,Never,Yes,5,Sometimes,3,5,Customer service ,No problems with Amazon,812195
2023/06/07 10:58:27 AM GMT+5:30,21,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,5,No,Rarely,Found a better price elsewhere,Never,Yes,Occasionally,Yes,5,No,3,5,User-friendly website/app interface,Add more familiar brands to the list,673186
2023/06/11 11:22:19 PM GMT+5:30,30,Others,Less than once a month,Clothing and Fashion,No,Few times a week,Filter,First page,4,Yes,Often,Found a better price elsewhere,Often,No,Rarely,No,1,Yes,3,4,Competitive prices,Product quality and accuracy,344233
2023/06/07 9:20:34 AM GMT+5:30,17,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,others,First page,5,Yes,Never,others,Always,Yes,Heavily,Sometimes,1,Sometimes,4,1,User-friendly website/app interface,User interface ,750185
2023/06/04 8:49:49 PM GMT+5:30,38,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,4,Yes,Rarely,High shipping costs,Sometimes,No,Never,No,2,Yes,3,1,Customer service,.,358271
2023/06/06 6:48:26 PM GMT+5:30,10,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,others,First page,5,Maybe,Sometimes,High shipping costs,Never,No,Moderately,No,2,Yes,1,5,Wide product selection,Scrolling option would be much better than going to next page,930944
